"time","survival","n_risk","n_event","lower_CI","upper_CI","Sex"
0.265571526351814,0.99153925842853,58549,4,0.990808291949401,0.992270764176453,"sex.=F"
0.268309377138946,0.991522321488871,58543,1,0.990790614947311,0.992254568401378,"sex.=F"
0.271047227926078,0.991420689434598,58536,6,0.990684557780493,0.992157368073924,"sex.=F"
0.27378507871321,0.991302076147308,58509,7,0.990560812731795,0.99204389427026,"sex.=F"
0.276522929500342,0.991251219279047,58476,3,0.990507765809892,0.991995230768118,"sex.=F"
0.279260780287474,0.991234259448443,58447,1,0.99049007679192,0.991979001230029,"sex.=F"
0.281998631074606,0.991183359926366,58423,3,0.990436992405946,0.991930289889908,"sex.=F"
0.284736481861739,0.991149416453199,58402,2,0.990401595129927,0.991897802433006,"sex.=F"
0.287474332648871,0.991132443844736,58397,1,0.990383896642498,0.991881556810326,"sex.=F"
0.290212183436003,0.991064547597448,58391,4,0.990313103649655,0.991816561736633,"sex.=F"
0.292950034223135,0.991030580857748,58355,2,0.990277691274417,0.991784042848929,"sex.=F"
0.295687885010267,0.990962613600299,58324,4,0.990206838462363,0.991718965583433,"sex.=F"
0.298425735797399,0.99091161367165,58292,3,0.99015367975845,0.991670127761271,"sex.=F"
0.301163586584531,0.990809563042024,58260,6,0.990047326303062,0.991572386626515,"sex.=F"
0.303901437371663,0.99077554441357,58251,2,0.990011878842763,0.991539799053171,"sex.=F"
0.306639288158795,0.990741523448872,58245,2,0.989976431619049,0.991507206571063,"sex.=F"
0.309377138945927,0.990707500731721,58240,2,0.989940985250617,0.991474609728995,"sex.=F"
0.31211498973306,0.990690483529125,58218,1,0.989923256758406,0.991458304928683,"sex.=F"
0.314852840520192,0.990690483529125,58198,0,0.989923256758406,0.991458304928683,"sex.=F"
0.317590691307324,0.990656419868165,58167,2,0.989887770105511,0.991425666488842,"sex.=F"
0.320328542094456,0.990622339215217,58136,2,0.989852267762672,0.991393009757204,"sex.=F"
0.323066392881588,0.990605293024296,58114,1,0.989834511255319,0.991376674999195,"sex.=F"
0.32580424366872,0.990571199469099,58111,2,0.989798999005188,0.991344002372048,"sex.=F"
0.328542094455852,0.990520054735545,58104,3,0.98974573092464,0.991294984335741,"sex.=F"
0.331279945242984,0.990485942981616,58075,2,0.989710205685932,0.991262288302101,"sex.=F"
0.334017796030116,0.990400623929228,58046,5,0.98962136127914,0.99118050019812,"sex.=F"
0.336755646817248,0.990349403375652,58008,3,0.989568031031876,0.991131392698475,"sex.=F"
0.339493497604381,0.990281081035343,57981,4,0.989496902607845,0.991065880925934,"sex.=F"
0.342231348391513,0.990212722143889,57946,4,0.989425745023793,0.991000325215949,"sex.=F"
0.344969199178645,0.990212722143889,57942,0,0.989425745023793,0.991000325215949,"sex.=F"
0.347707049965777,0.990144359712909,57939,4,0.989354593927154,0.990934755939964,"sex.=F"
0.350444900752909,0.990075966588544,57909,4,0.989283419832835,0.990869148278942,"sex.=F"
0.353182751540041,0.990007558106088,57892,4,0.989212239247966,0.990803516394314,"sex.=F"
0.355920602327173,0.990007558106088,57855,0,0.989212239247966,0.990803516394314,"sex.=F"
0.358658453114305,0.989956205615004,57836,3,0.989158810504654,0.990754243533117,"sex.=F"
0.361396303901437,0.989887710755417,57812,4,0.989087554014915,0.990688514810513,"sex.=F"
0.364134154688569,0.989836337833363,57806,3,0.989034116225042,0.990639210136637,"sex.=F"
0.366872005475702,0.989784956911234,57794,3,0.988980675311593,0.990589892587246,"sex.=F"
0.369609856262834,0.989733543962212,57755,3,0.988927205271203,0.990540540115249,"sex.=F"
0.372347707049966,0.989699255007131,57729,2,0.988891546855005,0.990507622880194,"sex.=F"
0.375085557837098,0.989647799290431,57702,3,0.988838039681524,0.990458222011595,"sex.=F"
0.37782340862423,0.989613478229245,57670,2,0.988802352602298,0.990425269231613,"sex.=F"
0.380561259411362,0.989596309064647,57639,1,0.988784500634253,0.990408784003191,"sex.=F"
0.383299110198494,0.989510460262765,57636,5,0.988695246523718,0.990326346173992,"sex.=F"
0.386036960985626,0.989510460262765,57628,0,0.988695246523718,0.990326346173992,"sex.=F"
0.388774811772758,0.989458933099883,57611,3,0.988641681853598,0.99027685991914,"sex.=F"
0.39151266255989,0.989407383566178,57583,3,0.988588098318761,0.990227347790328,"sex.=F"
0.394250513347023,0.989355800886257,57543,3,0.988534484260928,0.99017779989648,"sex.=F"
0.396988364134155,0.989304191298313,57510,3,0.988480846392635,0.990128222000622,"sex.=F"
0.399726214921287,0.989286979722063,57479,1,0.988462959216822,0.990111687162293,"sex.=F"
0.402464065708419,0.989200914354001,57473,5,0.988373523900012,0.990028997435774,"sex.=F"
0.405201916495551,0.989149270639906,57463,3,0.988319864726755,0.989979372597114,"sex.=F"
0.407939767282683,0.989114820512935,57425,2,0.988284072147081,0.989946267203154,"sex.=F"
0.410677618069815,0.989028654680777,57396,5,0.988194556883404,0.989863456508677,"sex.=F"
0.413415468856947,0.988994170321903,57361,2,0.988158735269742,0.989830311689459,"sex.=F"
0.416153319644079,0.988959667315682,57328,2,0.988122895783918,0.989797147450191,"sex.=F"
0.418891170431211,0.988925149256056,57301,2,0.988087042296488,0.989763967107728,"sex.=F"
0.421629021218344,0.988925149256056,57296,0,0.988087042296488,0.989763967107728,"sex.=F"
0.424366872005476,0.988890626978975,57292,2,0.9880511864838,0.989730780656175,"sex.=F"
0.427104722792608,0.988873356193635,57258,1,0.988033249008301,0.989714177707241,"sex.=F"
0.42984257357974,0.988821518487777,57229,3,0.987979412570462,0.98966434217549,"sex.=F"
0.432580424366872,0.988804227166151,57186,1,0.987961455165882,0.989647718085808,"sex.=F"
0.435318275154004,0.988752324157009,57153,3,0.987907554947589,0.989597815736669,"sex.=F"
0.438056125941136,0.988717706401804,57124,2,0.987871607237392,0.98956453023913,"sex.=F"
0.440793976728268,0.988631158983527,57120,5,0.987781744229827,0.989481304167231,"sex.=F"
0.4435318275154,0.98857923053256,57115,3,0.987727832911832,0.989431362037547,"sex.=F"
0.446269678302533,0.988527272969638,57080,3,0.987673895064446,0.989381388217239,"sex.=F"
0.449007529089665,0.988440639085377,57052,5,0.987583968447024,0.989298052834804,"sex.=F"
0.451745379876797,0.988388632317036,57018,3,0.987529990362751,0.989248020847135,"sex.=F"
0.454483230663929,0.988353940450193,56981,2,0.987493985333072,0.989214644455726,"sex.=F"
0.457221081451061,0.988336584769639,56947,1,0.987475973113009,0.98919794647229,"sex.=F"
0.459958932238193,0.98828451589927,56944,3,0.987421937626503,0.989147847691124,"sex.=F"
0.462696783025325,0.988249800270638,56936,2,0.987385913294881,0.989114443081269,"sex.=F"
0.465434633812457,0.988232432389577,56901,1,0.987367891074256,0.989097730699015,"sex.=F"
0.468172484599589,0.988197682580959,56877,2,0.987331833072886,0.989064291403524,"sex.=F"
0.470910335386721,0.988197682580959,56844,0,0.987331833072886,0.989064291403524,"sex.=F"
0.473648186173854,0.98818029024609,56818,1,0.987313786091894,0.989047554877309,"sex.=F"
0.476386036960986,0.988162888416585,56786,1,0.987295729412015,0.989030809061985,"sex.=F"
0.479123887748118,0.988162888416585,56780,0,0.987295729412015,0.989030809061985,"sex.=F"
0.48186173853525,0.988145482908889,56773,1,0.987277669292323,0.989014059330587,"sex.=F"
0.484599589322382,0.988093241540509,56745,3,0.98722346530174,0.988963784080659,"sex.=F"
0.487337440109514,0.988058393080273,56708,2,0.987187309419576,0.988930245375996,"sex.=F"
0.490075290896646,0.988040960857388,56680,1,0.987169223651026,0.988913467866677,"sex.=F"
0.492813141683778,0.987988641111517,56654,3,0.987114944598693,0.988863110934078,"sex.=F"
0.49555099247091,0.987971197501264,56639,1,0.987096848630391,0.988846320851308,"sex.=F"
0.498288843258042,0.987918864822535,56636,3,0.987042561795429,0.988795945837364,"sex.=F"
0.501026694045175,0.987849085453298,56631,4,0.986970183791739,0.988728769780984,"sex.=F"
0.503764544832307,0.98781419083893,56619,2,0.986933992509613,0.98869517417424,"sex.=F"
0.506502395619439,0.987779273405531,56580,2,0.986897778698151,0.988661555461851,"sex.=F"
0.509240246406571,0.987726875954904,56555,3,0.986843438829597,0.988611103946446,"sex.=F"
0.511978097193703,0.987709401795224,56525,1,0.986825317568268,0.988594278061972,"sex.=F"
0.514715947980835,0.9876919164992,56488,1,0.986807184833621,0.988577441379635,"sex.=F"
0.517453798767967,0.987674430584063,56485,1,0.986789051930796,0.988560603627335,"sex.=F"
0.520191649555099,0.987621965407851,56476,3,0.98673464820966,0.988510080522495,"sex.=F"
0.522929500342231,0.987569468625551,56439,3,0.986680214965409,0.988459523732869,"sex.=F"
0.525667351129363,0.987446893600189,56398,7,0.986553132547487,0.988341464349594,"sex.=F"
0.528405201916496,0.987394337214474,56365,3,0.986498649925002,0.988290837739444,"sex.=F"
0.531143052703628,0.987359281586788,56333,2,0.986462311220498,0.988257067550217,"sex.=F"
0.53388090349076,0.98728913172664,56300,4,0.986389598129515,0.988189485649419,"sex.=F"
0.536618754277892,0.987271593326986,56293,1,0.986371420052715,0.988172588109166,"sex.=F"
0.539356605065024,0.987254053369388,56287,1,0.986353240780909,0.988155688648244,"sex.=F"
0.542094455852156,0.987218952251086,56252,2,0.986316860901666,0.988121868658694,"sex.=F"
0.544832306639288,0.987201395761742,56231,1,0.986298665309661,0.988104952456723,"sex.=F"
0.54757015742642,0.987148686923783,56188,3,0.986244039118426,0.98805416453152,"sex.=F"
