"time","survival","n_risk","n_event","lower_CI","upper_CI"
2.28884325804244,0.954554858844857,59156,2,0.953069783789739,0.956042247946603
2.29158110882957,0.954538711695881,59116,1,0.953053325369915,0.956026413078601
2.2943189596167,0.954522554981059,59080,1,0.953036857076918,0.9560105689533
2.29705681040383,0.954522554981059,59050,0,0.953036857076918,0.9560105689533
2.29979466119096,0.954490224586974,59048,2,0.953003903075371,0.955978864191534
2.3025325119781,0.954457893097759,59044,2,0.952970948240942,0.955947158072531
2.30527036276523,0.954393189571407,59005,4,0.952904997315962,0.955883705999982
2.30800821355236,0.954344629004783,58961,3,0.952855500683697,0.955836084544588
2.31074606433949,0.954279836525261,58917,4,0.952789459382003,0.955772544953786
2.31348391512663,0.954247426532171,58888,2,0.952756424886005,0.955740761498639
2.31622176591376,0.954247426532171,58845,0,0.952756424886005,0.955740761498639
2.31895961670089,0.954214992855216,58843,2,0.952723366063019,0.955708955005784
2.32169746748802,0.954198774362944,58835,1,0.952706835046495,0.955693050057009
2.32443531827515,0.954117621209826,58790,5,0.952624117989707,0.95561346591157
2.32717316906229,0.954101381186316,58751,1,0.952607565039145,0.95559753983712
2.32991101984942,0.954085131205372,58714,1,0.952591001808636,0.955581604129025
2.33264887063655,0.95405261684508,58687,2,0.952557860602537,0.955549718662961
2.33538672142368,0.95405261684508,58635,0,0.952557860602537,0.955549718662961
2.33812457221081,0.954003801217939,58632,3,0.952508103515783,0.955501847573727
2.34086242299795,0.953971253025271,58621,2,0.952474927890884,0.955469928866056
2.34360027378508,0.953954971985352,58594,1,0.952458332971937,0.955453962732442
2.34633812457221,0.953906098837548,58557,3,0.952408517445393,0.955406035049074
2.34907597535934,0.953840893437487,58517,4,0.952342054968664,0.955342090845247
2.35181382614648,0.953791961791107,58480,3,0.952292180218979,0.955294105395403
2.35455167693361,0.953759323949582,58447,2,0.952258913356675,0.955262098638971
2.35728952772074,0.953726685549611,58444,2,0.952225646222638,0.955230091037452
2.36002737850787,0.953710364953319,58437,1,0.952209011319143,0.955214085780735
2.362765229295,0.953661374660266,58402,3,0.952159077425098,0.95516604218947
2.36550308008214,0.953661374660266,58369,0,0.952159077425098,0.95516604218947
2.36824093086927,0.953645029728743,58346,1,0.952142417519641,0.955150013267395
2.3709787816564,0.953563261625909,58314,5,0.952059073966489,0.955069825798065
2.37371663244353,0.953546898183179,58274,1,0.952042395272152,0.95505377864485
2.37645448323066,0.953530533336296,58268,1,0.952025715194846,0.955037730066478
2.3791923340178,0.953497798586276,58258,2,0.951992350013653,0.955005627824463
2.38193018480493,0.953481420527968,58218,1,0.9519756564276,0.954989566333699
2.38466803559206,0.953465036559645,58196,1,0.951958956772089,0.954973499093128
2.38740588637919,0.953432251722146,58165,2,0.951925540115288,0.954941348158249
2.39014373716632,0.953399449401506,58132,2,0.951892105584933,0.954909180132907
2.39288158795346,0.953399449401506,58096,0,0.951892105584933,0.954909180132907
2.39561943874059,0.953333805235957,58095,4,0.951825196348058,0.954844805214977
2.39835728952772,0.953251734488261,58080,5,0.951741545387657,0.95476431990237
2.40109514031485,0.953251734488261,58032,0,0.951741545387657,0.95476431990237
2.40383299110198,0.953218869405189,58010,2,0.951708047288751,0.954732089928864
2.40657084188912,0.953185985614955,57975,2,0.951674530043973,0.954699841689336
2.40930869267625,0.953169537477984,57951,1,0.951657765046292,0.954683711461967
2.41204654346338,0.95310371426182,57923,4,0.951590673937224,0.954619160338265
2.41478439425051,0.953070800948944,57916,2,0.951557127077264,0.954586882672474
2.41752224503765,0.953054342871599,57909,1,0.951540352286218,0.954570742359017
2.42026009582478,0.952988478715215,57880,4,0.95147322077739,0.954506149759966
2.42299794661191,0.952955526139879,57840,2,0.951439634171736,0.954473833320062
2.42573579739904,0.952939038734801,57799,1,0.951422829422872,0.954457664312775
2.42847364818617,0.952856574600882,57779,5,0.951338778653945,0.954376792087431
2.43121149897331,0.952840073491269,57745,1,0.951321960119436,0.954360609458508
2.43394934976044,0.952774069052817,57744,4,0.9512546867608,0.954295878163416
2.43668720054757,0.952774069052817,57737,0,0.9512546867608,0.954295878163416
2.4394250513347,0.952708017712652,57699,4,0.951187365868965,0.954231100604219
2.44216290212183,0.952625393389745,57653,5,0.95110315395194,0.954150069169913
2.44490075290897,0.952625393389745,57609,0,0.95110315395194,0.954150069169913
2.4476386036961,0.952542659995613,57572,5,0.951018830547654,0.954068931094686
2.45037645448323,0.952526106415508,57543,1,0.951001958923484,0.954052696621298
2.45311430527036,0.952476443949063,57540,3,0.95095134272392,0.95400399107616
2.4558521560575,0.952426778029819,57533,3,0.950900723634786,0.953955281515445
2.45859000684463,0.952410212933499,57496,1,0.950883840579469,0.953939035442283
2.46132785763176,0.952377063714435,57462,2,0.950850054915464,0.953906524798979
2.46406570841889,0.952343898911492,57433,2,0.950816253356508,0.953873998884911
2.46680355920602,0.952310708680292,57387,2,0.950782425664612,0.953841448250609
2.46954140999316,0.952277502825532,57358,2,0.950748582037023,0.95380888230693
2.47227926078029,0.952260899608675,57355,1,0.950731660039567,0.953792598939835
2.47501711156742,0.952211083878143,57347,3,0.950680888193218,0.953743742533412
2.47775496235455,0.952161239463429,57311,3,0.950630087219246,0.953694857890018
2.48049281314168,0.952127991868777,57277,2,0.950596201590323,0.953662250473375
2.48323066392882,0.952078090854196,57241,3,0.950545342926867,0.953613310327176
2.48596851471595,0.952028155815602,57199,3,0.950494449583824,0.953564336817018
2.48870636550308,0.951994841909353,57155,2,0.950460496244927,0.953531664495889
2.49144421629021,0.95194487017563,57152,3,0.950409565915409,0.953482654586784
2.49418206707734,0.951894891445637,57141,3,0.950358629014814,0.953433637257139
2.49691991786448,0.951894891445637,57100,0,0.950358629014814,0.953433637257139
2.49965776865161,0.951878212311025,57071,1,0.950341629864946,0.953417279216944
2.50239561943874,0.951828173153583,57068,3,0.950290631062515,0.953368202942208
2.50513347022587,0.951778096261866,57022,3,0.950239593723869,0.953319089740122
2.507871321013,0.951694582047428,56983,5,0.950154478227793,0.953237182218794
2.51060917180014,0.951677878618229,56976,1,0.950137454754288,0.953220799916272
2.51334702258727,0.951661170496973,56959,1,0.950120426479742,0.953204413031298
2.5160848733744,0.951627735470079,56926,2,0.950086350631395,0.953171620994326
2.51882272416153,0.951611016488096,56919,1,0.950069311297804,0.953155223448381
2.52156057494867,0.951560825151233,56879,3,0.950018158003745,0.953105997326553
2.5242984257358,0.951560825151233,56836,0,0.950018158003745,0.953105997326553
2.52703627652293,0.951527314768603,56792,2,0.949984004731886,0.953073132011607
2.52977412731006,0.951527314768603,56787,0,0.949984004731886,0.953073132011607
2.53251197809719,0.951460279838541,56778,4,0.94991568440398,0.953007386838175
2.53524982888433,0.951376435964745,56740,5,0.949830233550534,0.952925155399178
2.53798767967146,0.951342880672056,56705,2,0.949796035308936,0.952892245239813
2.54072553045859,0.951242131284806,56656,6,0.949693355632328,0.952793432706267
2.54346338124572,0.951208521457713,56605,2,0.949659101940314,0.952760468935762
2.54620123203285,0.951191707335507,56572,1,0.949641965636277,0.952743978092446
2.54893908281999,0.951191707335507,56567,0,0.949641965636277,0.952743978092446
2.55167693360712,0.951174890240559,56561,1,0.949624826319792,0.952727484316491
2.55441478439425,0.951124409502669,56527,3,0.94957337821526,0.952677974241531
2.55715263518138,0.951073897487436,56489,3,0.949521898296211,0.952628433430571
2.55989048596851,0.951057051201877,56456,1,0.949504729176977,0.952611911080034
2.56262833675565,0.951040195660774,56424,1,0.949487550511618,0.952595379765768
2.56536618754278,0.95097274480557,56399,4,0.949418806806637,0.952529226174497
2.56810403832991,0.950905291558195,56393,4,0.949350061882814,0.952463069018046
2.57084188911704,0.950837829936291,56382,4,0.949281309516308,0.952396902556336
2.57357973990418,0.950787194201391,56334,3,0.949229704976476,0.952347238943347
2.57631759069131,0.950753413057187,56291,2,0.949195277400913,0.952314106445028
2.57905544147844,0.950736509872785,56247,1,0.949178050616306,0.952297527969782
2.58179329226557,0.950685770550393,56213,3,0.94912633978131,0.952247763490835
2.5845311430527,0.950651923259942,56175,2,0.949091844371684,0.952214566542944
2.58726899383984,0.950601149612625,56170,3,0.949040099033576,0.952164767921861
2.59000684462697,0.950601149612625,56163,0,0.949040099033576,0.952164767921861
2.5927446954141,0.950584210587525,56119,1,0.949022835692595,0.952148154326397
2.59548254620123,0.950550311394879,56083,2,0.948988287262833,0.952114906601216
2.59822039698836,0.950516382557379,56032,2,0.948953708323067,0.952081630100315
2.6009582477755,0.950482433725029,55997,2,0.948919108909166,0.952048334086538
2.60369609856263,0.95044846669443,55965,2,0.948884490889762,0.952015020284215
2.60643394934976,0.950397514327602,55961,3,0.948832562567135,0.951965047232634
2.60917180013689,0.950346559228987,55955,3,0.948780632122755,0.951915070839602
2.61190965092402,0.950312566684617,55915,2,0.948745988849631,0.95188173126689
2.61464750171116,0.950261541364694,55873,3,0.948693986578589,0.951831686267362
2.61738535249829,0.950227506818702,55841,2,0.948659300426476,0.951798305576056
2.62012320328542,0.95021047795709,55801,1,0.948641945419051,0.951781603986103
2.62286105407255,0.950176403135389,55772,2,0.948607217863283,0.951748184152469
2.62559890485969,0.950159365419039,55769,1,0.948589853888097,0.951731473821996
2.62833675564682,0.950091204775895,55760,4,0.948520388620933,0.951664622312359
2.63107460643395,0.950040053101255,55722,3,0.94846825807443,0.951614452895909
2.63381245722108,0.950022990600301,55680,1,0.948450868966378,0.951597718132445
2.63655030800821,0.94995470257625,55648,4,0.948381273798854,0.951530741778573
2.63928815879535,0.949920540145834,55614,2,0.94834645754327,0.951497235439171
2.64202600958248,0.949886361121272,55585,2,0.948311624352457,0.951463712848953
2.64476386036961,0.949886361121272,55578,0,0.948311624352457,0.951463712848953
2.64750171115674,0.949886361121272,55564,0,0.948311624352457,0.951463712848953
2.65023956194387,0.949869255298093,55530,1,0.948294190915329,0.951446935775982
2.65297741273101,0.949835028858842,55505,2,0.948259308899091,0.95141336718824
2.65571526351814,0.949783663287205,55475,3,0.948206959531958,0.951362988827397
2.65845311430527,0.949715147450073,55449,4,0.948137131962749,0.95129578927993
2.6611909650924,0.949715147450073,55420,0,0.948137131962749,0.95129578927993
2.66666666666667,0.94969800983621,55417,1,0.948119666271932,0.951278980883595
2.6694045174538,0.949680870675937,55411,1,0.948102199053678,0.951262170922087
2.67214236824093,0.949595171781312,55408,5,0.948014860955399,0.951178116935452
2.67488021902806,0.9495780214775,55369,1,0.947997382632537,0.951161295792987
2.6776180698152,0.94956086001539,55332,1,0.947979892786599,0.95114446385852
2.68035592060233,0.949543687690809,55296,1,0.947962391725188,0.951127621416065
2.68309377138946,0.949492169785375,55294,3,0.947909888057462,0.951077092708931
2.68583162217659,0.949423470547275,55284,4,0.947839875253515,0.951009711619209
2.68856947296372,0.949389102276848,55250,2,0.947804849940259,0.950976002685417
2.69130732375086,0.949371905691167,55208,1,0.947787324457462,0.950959136145453
2.69404517453799,0.94935469819632,55172,1,0.947769787710895,0.950942259052415
2.69678302532512,0.949303046689345,55140,3,0.947717147776321,0.950891599427267
2.69952087611225,0.949285819209549,55104,1,0.947699590571131,0.950874702825681
2.70225872689938,0.949251361748644,55099,2,0.947664473803159,0.95084090697782
2.70499657768652,0.949165208714414,55091,5,0.947576673546064,0.95075640693268
2.70773442847365,0.949147970910286,55063,1,0.947559106253231,0.950739499771485
2.71047227926078,0.949130723395777,55031,1,0.947541528943576,0.95072258320768
2.71321013004791,0.94909620515806,54993,2,0.947506350432724,0.950688727557388
2.71594798083504,0.94906167247704,54968,2,0.94747115722712,0.950654857717218
2.71868583162218,0.948992605858466,54965,4,0.947400770484317,0.950587115855581
2.72142368240931,0.948958071292486,54959,2,0.947365576292872,0.95055324323159
2.72416153319644,0.948958071292486,54955,0,0.947365576292872,0.95055324323159
2.72689938398357,0.948923531070047,54948,2,0.947330376543546,0.950519364853339
2.7296372347707,0.94890625435578,54925,1,0.947312769924116,0.950502419203792
2.73237508555784,0.94890625435578,54902,0,0.947312769924116,0.950502419203792
2.73511293634497,0.948837066878248,54860,4,0.947242260422823,0.950434558399296
2.7378507871321,0.948819760544266,54826,1,0.947224623408595,0.95041758390918
2.74058863791923,0.948802454210285,54825,1,0.947206986475699,0.950400609337731
2.74332648870637,0.94875053426131,54823,3,0.947154075179724,0.950349684226741
2.7460643394935,0.948698589676086,54794,3,0.947101138996268,0.950298734734117
2.74880219028063,0.948681261531468,54749,1,0.947083479951856,0.950281738655908
2.75154004106776,0.948681261531468,54722,0,0.947083479951856,0.950281738655908
2.75427789185489,0.948629228626837,54697,3,0.947030452903481,0.950230703401535
2.75701574264203,0.948577157640526,54654,3,0.946977386988492,0.950179630855655
2.75975359342916,0.948559800009871,54649,1,0.946959697852832,0.950162605900679
2.76249144421629,0.94852508093663,54642,2,0.946924315862184,0.950128552086716
2.76522929500342,0.94847298134963,54618,3,0.946871221674122,0.950077450616473
2.76796714579055,0.94847298134963,54585,0,0.946871221674122,0.950077450616473
2.77070499657769,0.948403426084704,54545,4,0.94680033786241,0.950009228598222
2.77344284736482,0.948386027698578,54511,1,0.946782607162281,0.949992163702392
2.77618069815195,0.948316383048114,54470,4,0.946711632035942,0.949923854240036
2.77891854893908,0.948298971565821,54465,1,0.946693888126639,0.949906776362857
2.78165639972621,0.948264146043546,54460,2,0.946658397893711,0.949872617907791
2.78439425051335,0.948194455327832,54427,4,0.946587377156603,0.949804261932072
2.78713210130048,0.948159586905035,54387,2,0.946551843294545,0.949770061311027
2.78986995208761,0.948124707579442,54368,2,0.94651629842252,0.949735849895868
2.79260780287474,0.948124707579442,54341,0,0.94651629842252,0.949735849895868
2.79534565366188,0.948089792289161,54310,2,0.946480716479751,0.949701603627056
2.79808350444901,0.948037418389353,54307,3,0.946427343177975,0.949650232682823
2.80082135523614,0.947985035807989,54295,3,0.946373961585971,0.949598852666908
2.80355920602327,0.947897694504869,54269,5,0.94628495542812,0.949513182148331
2.8062970568104,0.947897694504869,54241,0,0.94628495542812,0.949513182148331
